FAOOccurrence.FAOOccurrenceSubfield.FAOOccurrenceLookup,FAOOccurrence.FAOOccurrenceSubfield.FAOOccurrenceName,FAOOccurrence.FAOOccurrenceSubfield.formerlyBred,FAOOccurrence.FAOOccurrenceSubfield.origin,FAOOccurrence.FAOOccurrenceSubfield.presence,FAOOccurrence.FAOOccurrenceSubfield.seasonality,internal_taxon_id
18,,,Native,Extant,Resident,22823
67,,,Native,Extant,Resident,22823
61,,,Native,Extant,Resident,22823
27,,,Native,Extant,Resident,22823
21,,,Native,Extant,Resident,22823
57,,,Native,Extant,,6909
61,,,Native,Extant,,6909
51,,,Native,Extant,,6909
71,,,Native,Extant,,6909
34,,,Native,Extant,Passage,60344
27,,,Native,Extant,Passage,60344
31,,,Native,Extant,Breeding Season,60344
37,,,Native,Extant,Passage,60344
