LargeMarineEcosystems.LargeMarineEcosystemsSubfield.LargeMarineEcosystemsLookup,LargeMarineEcosystems.LargeMarineEcosystemsSubfield.LargeMarineEcosystemsName,LargeMarineEcosystems.LargeMarineEcosystemsSubfield.formerlyBred,LargeMarineEcosystems.LargeMarineEcosystemsSubfield.origin,LargeMarineEcosystems.LargeMarineEcosystemsSubfield.presence,LargeMarineEcosystems.LargeMarineEcosystemsSubfield.seasonality,internal_taxon_id
1.1.1,,,Native,Extant,Resident,22823
1.1.8,,,Native,Extant,Resident,22823
1.2.1,,,Native,Extant,Resident,22823
1.2.2,,,Native,Extant,Resident,22823
4.1.2,,,Native,Extant,Resident,22823
4.2.1,,,Native,Extant,Resident,22823
4.2.2,,,Native,Extant,Resident,22823
1.1.6,,,Native,Extant,Resident,22823
1.1.7,,,Native,Extant,Resident,22823
1.1.2,,,Native,Extant,Resident,22823
1.1.3,,,Native,Extant,Resident,22823
1.1.4,,,Native,Extant,Resident,22823
1.1.5,,,Native,Extant,Resident,22823
1.1.3,,,Native,Extant,Passage,60344
4.2.10,,,,Extant,Passage,60344
4.2.9,,,,Extant,Passage,60344
4.2.8,,,,Extant,Passage,60344
4.2.7,,,,Extant,Passage,60344
4.2.6,,,,Extant,Passage,60344
4.2.5,,,,Extant,Passage,60344
4.2.4,,,,Extant,Passage,60344
4.2.3,,,,Extant,Passage,60344
3.1.1,,,,Extant,Breeding Season,60344
2.1.2,,,,Extant,Passage,60344
2.1.1,,,,Extant,Passage,60344
